rank,fitness_,ctk_string
55,2593.6472974786448,C[l(B[b(B2HH4)r(B2[r(B6H4B4H2)])]H6H2)f(H4H4)]
56,2593.1255449801847,C[r(B6[l(B6[l(B6H4H4)])t(B[b(B2[l(B2)]H6)])])f(HH2)]
57,2591.8810106932997,C[r(B6B2[t(B4H6BH4)]H6H6HH6H6)f(HH6)]
58,2591.6904901536327,C[f(H2H6B4HH6B[r(B6H2)t(BH2H6)]H2H6)]
59,2591.3297014134737,C[r(B4[t(B[l(B2H4)r(B[b(B6)]HH6)]B6[t(B6H2)])]H)]
60,2590.431970252236,C[f(B2[t(B2HH2)b(B4H4H6H4H)]H4H6H2)]
61,2589.796468281751,C[r(B4[b(B6[l(B2[b(BB2[t(B6)])]HBH2)]H2H4H2)])]
62,2588.751689802003,C[f(B6[l(B2B6H6B6[b(B4[r(B6)]H4)r(B6H4)]H)]HH2H4H6)]
63,2587.4437008903756,C[f(HB6[l(B4H6BH6H4H2H2H)]B2B2)]
64,2586.552772979466,C<t(B2[r(B2[l(B[t(B4H4)]H6H2)]HHH2HH4H)])>
65,2585.8986348473027,C[f(B2)]<t(B4[b(B2HHH4H2H2H2H2)t(B[r(B[l(B6)]H)])])>
66,2585.7569825262194,C[f(B4)l(B[t(B6)]HB4[b(B6[r(B2H2)]H4H2)]H2H4H4H4)]
67,2585.586835803105,C[f(B2[l(BH4)]B6[l(B2[r(B)l(B[t(B6B4H2H2)]H4)])]B6)]
68,2584.8264668220017,C[f(H4H2H6B[l(B4[l(B4[t(B)b(B2H2)])]H)t(B[l(B)t(B2H6)]H6H4)]H2)]
69,2584.495492561745,C[r(B2[b(B)]H2H)f(H6B2[l(B[l(B2H6)]H2H4)]H4H2)]
70,2584.1070772113108,C[r(B2[t(B2[t(BB)]HH6)b(BH4H6)]B)l(BB4)f(BH6H4)]
71,2583.9789448925694,C[f(H6)]<t(BHH4B6[t(B4[l(B6H2)]H6H4H2H6)]B6H2)>
72,2583.2284954495008,C[l(B[r(B2)l(B[t(B4[l(B4[l(B2[t(B)]H6)]H4)])]H6)]H2)f(H2)]<t(B)>
73,2581.6100570252315,C<t(B2[r(B4[b(B6[t(B4[b(B2H2H6)]H)l(B[r(B2[l(B)t(B2[l(B)])])])])])b(B[l(B2)]H)]H)>
74,2581.547670060647,C[f(B2H2)r(B4[l(B2BH6H4H4)]H6H2H6)]
75,2580.79667807478,C[f(B6[t(B2[b(B4)r(B[r(B4HB)b(B4[r(B6[b(B2)])])]H2H)]H2H)]H6)]
76,2580.743826258469,C[f(B6[l(B6[t(B4[b(B)]H6H6)]B[t(B2H6)]B6[l(B6)]H2H2)]H4H6)]
77,2580.619581698288,C[f(B4[l(B)])]<t(B2[b(B6[b(B4[t(B4H2H6)])t(B6[r(B2)])l(B[l(B6B6)])])]H6)>
78,2580.4816329213227,C[r(B4[t(B6)l(B6[t(B[b(B2)]B4H6)]H6)]H)]<t(B4)>
79,2579.919357485566,C[l(B6B2[l(B4H6)t(B[t(B4HH6H)])])f(B[b(B2H2)]H)]
80,2579.7656631605537,C[l(B6[t(B[l(B2H6)b(BH6H6)])]B2[r(B6HH6B2H)])]
81,2575.5030003940187,C[r(B4[l(B4[b(B2H2)]H2B4H)]H4)l(B6H6)]
82,2575.4553351904106,C[f(H2HH6B[b(B2H6H6)l(B[t(B4)l(B4H2H4H)])])]
83,2575.3076531941397,C[r(B)f(H)]<t(B6[l(B6)]B[b(B2H)r(B[r(BB6)b(B[r(B)])])]H)>
84,2573.6736233520596,C[f(B4)]<t(B[b(B4[r(B2[b(B2H6)]H4)]H6H6)]H)>
85,2573.399336456474,C[l(B4[l(B4H4BH2)]HHHB4[t(BH6)])]
86,2573.295203980244,C<t(B2[l(B4H4)t(B4[r(B2B2[t(B6H2)]H6)]H2H2)]HH6)>
87,2573.2162824325596,C[l(B[b(B6[r(B[l(B6[l(B6)]H)]H6H2H2H6H)])]H)]
88,2572.212614332271,C[l(B4[l(B6[r(B2[l(BH6B[l(BH6)])]H4)b(B6)])]H2)]
89,2572.189271447114,C[l(B2[l(B2)]H4B6B[b(B2[t(BH6H4)])]HH4)f(H6H4)]
90,2571.381866860461,C[f(B6[r(B2[b(B)]H2H4)]B2[r(B2H2)]H4H4H4H6)]
91,2570.2515236517047,C[l(B6)r(B6HB6)f(B6[r(B2)t(B6[l(B)r(B2)b(B2H4)]H4H6)])]
92,2569.8748731166174,C[l(B2[b(B6H2H4)]B4[t(BHH2)])f(B6)]
93,2569.641164330719,C[r(B6[t(B2B2)]B[t(BHH)]H6H6)f(H4H4)]
94,2569.4862558821314,C[l(B4[l(B[r(B2H4)]B2[l(B[r(B2H6H2)])])]H4)f(H6)]
95,2569.308698920078,C[r(B6[r(B2)l(B[b(B6)r(B6B2[b(B4)])]B6[r(BB4)]H2)])f(H)]
96,2568.795219083415,C[r(B6[l(B2[t(B6[b(B4)]H2H4)]B4)t(B6)]H6H2)]<t(B4B2H6H4H6)>
97,2568.662101997614,C[r(B2[l(BH6)]H2)f(B6[b(B4[l(B)]H6H4)l(B6)])]
98,2568.4335157068635,C[r(B6[b(BB4[r(B2[l(B2[r(B2)])t(B4)]H4H2)]H4H6)])]
99,2568.224019486751,C[f(HB2H4)]<t(B4[t(B2[r(B4[r(B2[t(B4[t(B2)])])]H4)l(B6H4)]B6[b(B)])])>
100,2568.1220161957317,C[f(B4)r(B4[r(B6[b(B2HHH)]H4BH2)]B6B2[r(B4)])]
101,2567.7654158306223,C[f(H2B4B4H2H4H6H2H6H4)]<t(B6)>
102,2567.747592576119,C[l(B2[l(B2[r(B2[b(B4[r(B4)]H6)]B6[r(B[b(B2[t(B2)]HH4H2)])])]B2H6)]H4)]
103,2567.1312111022385,C[f(B6)]<t(B4[t(B2H4)]B[l(B4[b(B6H2)]H6BHH6)]H4)>
