0,C[l(B6[l(B6H4)]BB6[l(B2[r(B2[r(B2[l(B[b(B[r(B6)])])])])])])f(H6)],0.06902971256134217,"{'phase': [-6.283185307179586, -6.283185307179586], 'w': [2.8543905117118853, -6.283185307179586], 'amplitudes': [-0.6722110307961466, 0.014038143108354174], 'ha': [-0.08788050716057848, 10.0], 'b': [-100.0, -6.514347200147328]}"
1,C[l(B2[r(B2[l(B2)r(B6B2)]H6)]H6H4H)f(H6H2)],0.08782171939596017,"{'phase': [-6.283185307179586, -0.02187691752424423, 4.489201139761921, 6.283185307179586, -6.283185307179586, 6.283185307179586], 'w': [6.283185307179586, -0.8429791651452153, -6.283185307179586, -6.283185307179586, -6.283185307179586, -0.4612565834746369], 'amplitudes': [-0.8610958761248358, -0.29732481320031684, -6.283185307179586, -6.283185307179586, 1.2036643678423136, 6.283185307179586], 'ha': [-0.8369969888329445, 10.0, 0.25194096656949067, 10.0, 0.5493142475831968, 0.9010514932029337], 'b': [100.0, 1.7466760126597505, 100.0, -15.160886019804273, -100.0, -0.3105620400146138]}"
2,C[f(B6[b(B[r(B6[b(B2[r(B2)]H4B)])]HBB6[b(B6)]H2H2)])],-0.12875339160794838,"{'phase': [-0.8952814563913067, 0.12624094312558398, -2.3068671375736636, 1.0223029445292457], 'w': [1.037068760632189, 3.7253640817181264, 5.964971050198585, 3.1800210074729005], 'amplitudes': [-1.691660374408106, -0.6067837755849714, -2.665467056045989, 2.820109078621254], 'ha': [-3.752669759489791, 0.49147026093646673, -1.9475367471738299, -9.376075121921382], 'b': [-14.25995212669271, 23.667034107553732, -33.76019353313069, -50.947820009171394]}"
3,C[l(B6[b(B6)l(B6HB)t(BH6B)]B4H6HH4)f(H4H2)],-0.5318877304656224,"{'phase': [6.283185307179586, 4.227375815712222, 3.7293796285153715, 6.283185307179586, 0.33777526450148154, 6.283185307179586, -0.5184192783645196], 'w': [6.283185307179586, 0.4544866820476229, -0.7313501487397702, 0.43977405341681536, -0.342855983186457, -0.8948045856753751, 6.283185307179586], 'amplitudes': [-4.979968304472544, 3.5714679545356574, 6.283185307179586, 0.108762692662335, 6.283185307179586, -6.283185307179586, -6.283185307179586], 'ha': [-10.0, -0.6223478793023693, 0.11948046324813294, 0.027913545105446295, 10.0, -8.135418545129005, 0.6352730902685703], 'b': [100.0, -0.09893944707465298, -100.0, -3.5590764086161077, -100.0, -0.10369661891219181, -3.2734995414440458]}"
4,C[f(B2[r(B2[t(B[b(B6B[t(B6[r(B6)])]B)]H4)])]H6H4)],0.09641060530080717,"{'phase': [-0.9459741099323239, -6.283185307179586, 6.283185307179586], 'w': [6.283185307179586, 0.9209838377422933, -6.283185307179586], 'amplitudes': [6.283185307179586, 0.30094022346451565, 6.283185307179586], 'ha': [-10.0, -0.6124332673061835, 0.13420743080183944], 'b': [100.0, 100.0, 1.052750913834795]}"
5,C[r(B6[b(B6[b(B6[b(B)l(B6[r(B2[r(B2[r(B2)]H4B)])]BH)])])])f(H6H4)],0.18899595609302638,"{'phase': [-6.283185307179586, -3.4317855443389553, -6.283185307179586, -6.283185307179586], 'w': [-6.283185307179586, -6.283185307179586, 6.283185307179586, 6.283185307179586], 'amplitudes': [1.0820839623631773, 6.283185307179586, 0.15296203961979624, 2.1021914362297642], 'ha': [-0.8203393821965043, 1.7340480494211652, 1.0690993384502605, 0.7414310224089192], 'b': [100.0, 100.0, -100.0, -0.19803596998384065]}"
6,C[f(H4B6[l(B2[r(B6[b(B6[t(B2)])]H2)]H2H4B)r(B[l(B)])]H4)],-0.023193321339521386,"{'phase': [-6.283185307179586, -0.5027251009276889, 6.283185307179586, 6.283185307179586, -1.5671917550717194], 'w': [-0.1387863304532637, 0.5017355196428578, -0.831148900713384, -6.283185307179586, 0.13037350518950294], 'amplitudes': [-6.283185307179586, 0.48159007841561086, -6.283185307179586, -6.283185307179586, 0.7061441764923593], 'ha': [-0.7512571051512138, -1.5280880817151583, -0.8619354092700977, 2.5656197538779133, -0.029604289411191025], 'b': [-9.375365377677303, 100.0, 3.5909999379565316, 0.34425290045805196, -2.079143452139019]}"
7,C[r(B6[l(B2[t(B)l(B2B2[b(B6BB6)])b(B4[l(BH4H6)])])])],0.09974627667222932,"{'phase': [0.05419004082313216, 6.283185307179586], 'w': [6.283185307179586, 3.119573827943969], 'amplitudes': [6.283185307179586, -1.1272418353060565], 'ha': [-10.0, -0.5682275843424108], 'b': [0.6961619199636989, 100.0]}"
8,C[r(B2[t(B6H4)]H6)f(H4B4B4[l(B6[b(B2)]B2)t(BH4B)]H2H6)],-0.20638373599168947,"{'phase': [2.7414768274618893, 0.08065393384757416, 6.283185307179586, -0.8058085893658959, -0.4297165057880812, 6.283185307179586], 'w': [-0.49322217653152084, 6.283185307179586, 0.2973401645626326, 6.283185307179586, 6.283185307179586, -0.025119576302957004], 'amplitudes': [4.467898977443256, 0.17993011225342223, 6.283185307179586, -1.447651757307934, -0.13156550933394418, -6.283185307179586], 'ha': [10.0, -10.0, -0.2795032690972646, -10.0, 0.8968327891708286, -10.0], 'b': [-1.7811093384722774, -100.0, 100.0, 1.3730893619266908, -3.4569622199298013, 3.002035188815326]}"
9,C[l(B6[r(B2)]HBH4BH4H2)f(H6H6H2)],0.011462765990643928,"{'phase': [-0.7655463768739557, 6.283185307179586, 2.314596557838407, -1.3753325620096717, -2.918535503454624, 6.283185307179586, -0.9271365078989496], 'w': [-6.283185307179586, 6.283185307179586, -6.283185307179586, -6.283185307179586, 6.283185307179586, 6.283185307179586, 6.283185307179586], 'amplitudes': [6.283185307179586, -1.5412057622233215, 6.283185307179586, 0.05516608122577208, -0.025741554831837883, 6.283185307179586, -0.5066359065312109], 'ha': [-10.0, 0.38011493513416433, 0.42354226579082466, -0.29870737294093586, 6.934045189304901, -10.0, -1.883869495228101], 'b': [0.25406203860332904, -3.575335856142199, -0.44672829076494774, 100.0, 0.13187640220629915, 0.33625506358111357, 100.0]}"
